id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1000,Cozy Shared room in Hell's Kitchen,97498,Maria,Manhattan,Hell's Kitchen,40.783294,-73.975911,Shared room,124,1,4,2019-01-26,,2,330
1001,Cozy Shared room in Harlem,93104,Sarah,Manhattan,Harlem,40.738339,-73.982019,Shared room,203,1,44,2019-05-23,6.29,1,191
1002,Cozy Private room in Hell's Kitchen,45773,Maria,Manhattan,Hell's Kitchen,40.729974,-73.982861,Private room,82,3,11,2020-03-08,3.67,2,174
1003,Cozy Private room in Midtown,83969,Maria,Manhattan,Midtown,40.744833,-74.022723,Private room,54,1,4,2019-08-12,0.27,1,88
1004,Cozy Private room in Lower East Side,79479,John,Manhattan,Lower East Side,40.774429,-73.989988,Private room,222,2,4,2019-07-23,0.11,1,49
1005,Cozy Entire home/apt in Park Slope,42606,Sarah,Brooklyn,Park Slope,40.69875,-73.976921,Entire home/apt,162,2,46,2020-04-04,2.56,1,201
1006,Cozy Entire home/apt in Midtown,49099,David,Manhattan,Midtown,40.757416,-74.012726,Entire home/apt,86,2,44,2020-03-08,2.0,3,251
1007,Cozy Shared room in Chelsea,15258,David,Manhattan,Chelsea,40.729907,-73.967093,Shared room,10,1,36,2019-08-09,1.64,3,62
1008,Cozy Private room in Williamsburg,99135,Maria,Brooklyn,Williamsburg,40.654665,-73.930493,Private room,116,2,47,2020-01-25,6.71,2,32
1009,Cozy Entire home/apt in Crown Heights,62992,Emma,Brooklyn,Crown Heights,40.682738,-73.965121,Entire home/apt,154,2,20,2019-09-28,6.67,1,130
1010,Cozy Private room in Hell's Kitchen,64268,Lisa,Manhattan,Hell's Kitchen,40.754686,-73.951395,Private room,107,30,5,2019-05-08,0.2,1,240
1011,Cozy Private room in Williamsburg,32299,Michael,Brooklyn,Williamsburg,40.699376,-73.91935,Private room,19,1,6,2020-01-06,0.46,2,186
1012,Cozy Private room in Astoria,40080,John,Queens,Astoria,40.706235,-73.866831,Private room,107,2,56,2019-08-22,2.95,3,224
1013,Cozy Entire home/apt in Astoria,23545,Sarah,Queens,Astoria,40.715009,-73.825567,Entire home/apt,102,2,17,2019-04-14,0.68,1,164
1014,Cozy Private room in Crown Heights,77172,Lisa,Brooklyn,Crown Heights,40.647787,-73.981049,Private room,92,2,82,2020-01-09,7.45,2,112
1015,Cozy Entire home/apt in Crown Heights,97092,Emma,Brooklyn,Crown Heights,40.664156,-73.905148,Entire home/apt,135,30,8,2019-08-03,0.44,1,125
1016,Cozy Private room in Williamsburg,99045,David,Brooklyn,Williamsburg,40.667862,-73.976777,Private room,124,7,11,2020-06-30,0.69,5,197
1017,Cozy Entire home/apt in Harlem,44754,Lisa,Manhattan,Harlem,40.77876,-73.996107,Entire home/apt,138,3,1,2020-01-24,0.06,1,345
1018,Cozy Entire home/apt in Kingsbridge,31918,Sarah,Bronx,Kingsbridge,40.867187,-73.905365,Entire home/apt,112,7,28,2019-11-29,7.0,2,150
1019,Cozy Private room in Flushing,30932,John,Queens,Flushing,40.760033,-73.850352,Private room,54,1,18,2019-11-20,0.69,1,303
1020,Cozy Private room in Chelsea,71267,Maria,Manhattan,Chelsea,40.760455,-73.994217,Private room,176,1,2,2019-08-05,0.1,10,103
1021,Cozy Entire home/apt in St. George,71135,Lisa,Staten Island,St. George,40.618557,-74.176926,Entire home/apt,127,3,9,2020-02-10,0.3,1,162
1022,Cozy Entire home/apt in Bushwick,80091,Michael,Brooklyn,Bushwick,40.665705,-73.933093,Entire home/apt,220,2,31,2019-05-23,1.94,1,175
1023,Cozy Shared room in Bed-Stuy,59377,Michael,Brooklyn,Bed-Stuy,40.653006,-73.932392,Shared room,10,30,16,2020-03-14,0.62,2,26
1024,Cozy Entire home/apt in Long Island City,28589,Sarah,Queens,Long Island City,40.764314,-73.827811,Entire home/apt,206,1,36,2019-05-22,1.09,1,171
1025,Cozy Private room in Upper East Side,76235,Maria,Manhattan,Upper East Side,40.782241,-74.000444,Private room,118,60,13,2019-02-18,1.62,1,98
1026,Cozy Entire home/apt in Flushing,61885,David,Queens,Flushing,40.695774,-73.851799,Entire home/apt,103,7,68,2020-03-08,13.6,20,359
1027,Cozy Entire home/apt in Upper East Side,88069,James,Manhattan,Upper East Side,40.742759,-74.000513,Entire home/apt,107,7,52,2020-04-24,1.53,3,298
1028,Cozy Private room in Long Island City,87575,John,Queens,Long Island City,40.744157,-73.837337,Private room,53,14,17,2019-04-28,0.49,5,320
1029,Cozy Entire home/apt in Chelsea,62921,Emma,Manhattan,Chelsea,40.757412,-74.001077,Entire home/apt,298,3,2,2019-04-25,0.11,2,341
1030,Cozy Entire home/apt in Upper East Side,13051,David,Manhattan,Upper East Side,40.79122,-73.987419,Entire home/apt,177,3,3,2020-04-09,3.0,5,52
1031,Cozy Entire home/apt in Hell's Kitchen,27019,Michael,Manhattan,Hell's Kitchen,40.771168,-74.020715,Entire home/apt,318,1,30,2020-05-27,2.5,1,143
1032,Cozy Private room in Bed-Stuy,76617,Maria,Brooklyn,Bed-Stuy,40.698217,-73.948612,Private room,33,2,2,2019-11-02,0.06,1,128
1033,Cozy Entire home/apt in Lower East Side,63222,Sarah,Manhattan,Lower East Side,40.766569,-73.989146,Entire home/apt,167,7,68,2019-06-06,2.83,3,188
1034,Cozy Private room in Harlem,53919,John,Manhattan,Harlem,40.721827,-73.984671,Private room,59,2,2,2019-11-28,0.06,1,203
1035,Cozy Entire home/apt in Midtown,78385,Maria,Manhattan,Midtown,40.734871,-74.022776,Entire home/apt,196,3,12,2020-01-07,0.6,10,324
1036,Cozy Private room in Bushwick,70890,John,Brooklyn,Bushwick,40.689076,-73.929827,Private room,135,60,72,2019-09-04,12.0,2,159
1037,Cozy Private room in Midtown,48304,Lisa,Manhattan,Midtown,40.766119,-74.007465,Private room,260,3,42,2019-03-12,1.2,1,64
1038,Cozy Entire home/apt in Harlem,25305,David,Manhattan,Harlem,40.715862,-73.958843,Entire home/apt,229,7,10,2020-05-01,0.28,1,92
1039,Cozy Private room in Harlem,70692,Michael,Manhattan,Harlem,40.791406,-73.980162,Private room,82,30,24,2020-06-24,0.86,1,216
1040,Cozy Private room in Bushwick,17357,Sarah,Brooklyn,Bushwick,40.669949,-73.964912,Private room,40,3,7,,0.27,2,150
1041,Cozy Entire home/apt in Long Island City,56959,Lisa,Queens,Long Island City,40.719169,-73.877189,Entire home/apt,110,3,11,2020-06-13,0.38,1,83
1042,Cozy Shared room in Midtown,64098,Sarah,Manhattan,Midtown,40.753442,-74.017337,Shared room,28,7,78,2019-08-19,15.6,1,51
1043,Cozy Private room in Crown Heights,37192,John,Brooklyn,Crown Heights,40.634077,-73.909526,Private room,136,60,5,2019-08-24,0.33,20,143
1044,Cozy Entire home/apt in St. George,33625,Maria,Staten Island,St. George,40.605957,-74.121651,Entire home/apt,96,60,30,,2.0,5,8
1045,Cozy Entire home/apt in Williamsburg,93460,John,Brooklyn,Williamsburg,40.666066,-73.965342,Entire home/apt,240,30,12,2019-12-05,2.4,2,193
1046,Cozy Private room in Flushing,29870,Michael,Queens,Flushing,40.726533,-73.870761,Private room,63,2,22,2020-05-12,1.57,2,251
1047,Cozy Entire home/apt in Lower East Side,19435,David,Manhattan,Lower East Side,40.759718,-73.964722,Entire home/apt,203,2,14,2020-04-29,0.88,3,241
1048,Cozy Private room in Jackson Heights,92848,James,Queens,Jackson Heights,40.705888,-73.823942,Private room,10,3,12,2019-07-14,1.71,1,311
1049,Cozy Entire home/apt in St. George,86539,James,Staten Island,St. George,40.544904,-74.146692,Entire home/apt,111,3,55,2019-12-29,1.96,20,202
1050,Cozy Private room in Park Slope,51430,Lisa,Brooklyn,Park Slope,40.628636,-73.961523,Private room,51,3,24,2019-02-25,3.43,10,143
1051,Cozy Entire home/apt in Riverdale,71529,James,Bronx,Riverdale,40.828061,-73.907648,Entire home/apt,130,2,24,2019-12-14,3.43,1,347
1052,Cozy Entire home/apt in Harlem,92844,Sarah,Manhattan,Harlem,40.724655,-74.017904,Entire home/apt,175,2,8,2019-07-14,0.23,10,219
1053,Cozy Private room in Park Slope,33793,David,Brooklyn,Park Slope,40.669127,-73.970813,Private room,74,1,62,2020-03-08,5.17,1,285
1054,Cozy Entire home/apt in Long Island City,85880,Lisa,Queens,Long Island City,40.721186,-73.879127,Entire home/apt,70,3,44,2019-09-13,8.8,1,97
1055,Cozy Private room in Jackson Heights,33524,Maria,Queens,Jackson Heights,40.74609,-73.840434,Private room,109,90,204,2019-02-21,5.83,1,22
1056,Cozy Entire home/apt in Midtown,46187,Maria,Manhattan,Midtown,40.735494,-74.022225,Entire home/apt,143,30,5,2019-08-31,0.45,1,287
1057,Cozy Private room in Park Slope,34285,Lisa,Brooklyn,Park Slope,40.688345,-73.936804,Private room,20,14,9,,0.64,1,235
1058,Cozy Private room in Park Slope,16949,John,Brooklyn,Park Slope,40.673647,-73.933068,Private room,145,3,58,2019-06-18,2.32,2,225
1059,Cozy Private room in Midtown,80173,James,Manhattan,Midtown,40.763767,-73.955011,Private room,168,3,19,2019-09-29,0.63,10,334
1060,Cozy Private room in Chelsea,15569,James,Manhattan,Chelsea,40.7403,-73.973328,Private room,10,90,15,2020-05-13,1.5,1,52
1061,Cozy Entire home/apt in Harlem,68243,Michael,Manhattan,Harlem,40.72855,-73.996347,Entire home/apt,215,1,3,2019-08-11,0.75,5,7
1062,Cozy Private room in Bed-Stuy,46668,John,Brooklyn,Bed-Stuy,40.627544,-73.940103,Private room,50,1,1,2019-11-18,0.25,1,91
1063,Cozy Private room in Midtown,33321,Lisa,Manhattan,Midtown,40.777953,-73.973768,Private room,78,2,3,2020-05-29,0.09,1,72
1064,Cozy Private room in Flushing,97731,John,Queens,Flushing,40.704748,-73.871362,Private room,47,7,41,2020-06-04,6.83,1,252
1065,Cozy Entire home/apt in Bushwick,25034,Maria,Brooklyn,Bushwick,40.645195,-73.926932,Entire home/apt,126,7,15,2019-03-11,0.94,5,13
1066,Cozy Private room in Park Slope,20267,Maria,Brooklyn,Park Slope,40.626606,-73.958234,Private room,69,1,19,2019-09-10,6.33,1,118
