id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
1000,Manhattan,Hell's Kitchen,40.740697,-74.012571,Shared room,124,1,4.0,0.5,1,330
1001,Brooklyn,Williamsburg,40.674399,-73.935068,Entire home/apt,231,60,32.0,1.78,20,191
1002,Manhattan,Harlem,40.776814,-74.008026,Entire home/apt,10,90,1.0,0.07,1,270
1003,Brooklyn,Bushwick,40.626061,-73.908624,Private room,113,3,1.0,0.14,1,20
1004,Brooklyn,Bed-Stuy,40.645702,-73.930998,Entire home/apt,186,14,23.0,3.83,5,34
1005,Manhattan,Lower East Side,40.74998,-73.992388,Private room,21,1,19.0,0.68,5,190
1006,Bronx,Riverdale,40.818708,-73.859701,Private room,63,60,18.0,9.0,1,212
1007,Manhattan,Midtown,40.715251,-73.990128,Entire home/apt,54,1,19.0,1.36,1,14
1008,Manhattan,Harlem,40.782003,-73.988044,Entire home/apt,303,30,23.0,0.7,10,40
1009,Manhattan,Lower East Side,40.784977,-73.986223,Entire home/apt,280,7,27.0,13.5,2,171
1010,Manhattan,Lower East Side,40.716034,-74.015369,Private room,153,3,36.0,2.77,1,206
1011,Manhattan,Hell's Kitchen,40.762353,-73.980813,Private room,259,3,9.0,0.26,1,221
1012,Manhattan,Upper East Side,40.783717,-73.959706,Private room,267,3,53.0,3.53,2,61
1013,Manhattan,Upper East Side,40.786546,-74.002229,Private room,195,14,19.0,1.06,1,347
1014,Brooklyn,Williamsburg,40.634589,-73.956991,Entire home/apt,59,3,4.0,0.36,1,317
1015,Bronx,Kingsbridge,40.817313,-73.90625,Entire home/apt,44,7,18.0,0.64,1,112
1016,Brooklyn,Crown Heights,40.664156,-73.905148,Private room,50,7,10.0,0.56,1,125
1017,Manhattan,Harlem,40.751624,-73.945326,Private room,113,1,35.0,2.5,3,254
1018,Manhattan,Chelsea,40.768205,-74.022673,Private room,81,7,17.0,2.43,2,258
1019,Brooklyn,Williamsburg,40.692017,-73.929945,Entire home/apt,162,1,25.0,1.0,1,127
1020,Queens,Astoria,40.730372,-73.881652,Entire home/apt,169,1,6.0,0.26,2,111
1021,Manhattan,Chelsea,40.770029,-73.956267,Private room,156,7,57.0,3.35,1,8
1022,Queens,Astoria,40.700865,-73.857101,Entire home/apt,129,60,11.0,0.37,1,152
